z,x,y
299,81,143
476,93,173
145,122,144
259,116,140
364,95,161
289,82,93
281,99,86
772,84,71
487,105,192
655,78,150
634,87,141
725,84,77
123,80,85
240,79,135
6,101,80
366,90,136
544,80,84
610,70,52
70,85,122
612,87,91
765,80,128
126,53,72
607,73,116
565,92,143
100,81,76
103,107,138
326,83,83
518,92,87
58,91,96
518,96,163
96,101,133
120,61,77
366,95,136
321,93,94
343,103,179
135,96,141
209,73,149
532,73,85
96,116,140
460,106,171
787,87,141
166,70,74
598,87,69
466,97,67
591,66,55
505,43,174
462,97,87
455,74,120
228,89,127
74,80,144
211,92,71
631,83,77
102,61,133
773,64,110
728,54,144
338,85,167
252,109,79
503,100,137
56,97,150
780,84,133
217,68,148
464,97,161
789,80,85
324,84,116
194,73,115
181,69,79
642,80,136
435,94,92
765,72,88
36,45,62
632,81,86
166,71,159
378,91,54
581,82,167
86,114,145
589,86,152
444,105,157
596,97,137
561,112,173
450,105,180
744,108,166
480,81,87
203,83,79
655,84,101
456,103,188
175,105,93
549,97,85
469,76,57
677,90,137
78,46,145
161,83,125
52,113,82
555,92,159
169,108,92
291,70,134
420,74,83
674,71,143
616,94,78
433,86,84
587,82,49
80,84,147
185,47,67
785,32,79
32,80,86
667,63,82
400,71,112
118,36,36
277,85,91
340,87,141
90,79,126
421,92,61
654,93,137
246,101,100
331,30,43
409,93,104
717,70,150
272,113,75
385,108,62
126,89,143
0,0,0
364,98,166
115,93,76
680,108,165
259,48,147
0,0,0
129,52,156
631,94,74
335,119,156
436,93,79
532,87,77
311,81,134
635,84,147
555,97,163
144,74,165
710,61,86
156,87,143
142,79,96
328,100,169
740,51,81
733,74,94
2,98,85
631,41,67
29,94,100
383,97,196
631,81,63
365,95,59
326,101,149
331,90,160
323,39,66
268,59,158
696,75,84
152,57,114
374,98,167
86,113,139
296,44,147
288,60,83
302,50,83
286,76,76
110,103,127
426,74,82
108,62,116
627,37,50
255,88,82
729,81,79
748,72,161
270,50,162
384,82,59
294,125,75
123,76,86
34,85,79
706,87,135
516,90,145
692,70,85
698,74,138
573,80,89
374,93,42
739,89,148
440,67,76
107,61,138
