z,x,y
751,29,79
16,77,110
490,102,78
478,41,147
547,93,119
242,86,106
318,59,115
503,88,121
640,103,76
136,87,121
297,37,166
675,75,117
115,106,141
100,89,98
498,73,108
707,35,135
487,90,128
53,60,100
305,101,96
387,80,106
101,19,87
570,88,107
607,88,83
540,96,24
520,97,89
59,99,122
47,81,110
104,95,167
155,99,177
517,93,151
241,91,112
115,90,117
603,83,108
588,97,99
679,79,104
238,38,151
770,78,109
73,39,176
64,91,116
565,68,111
0,0,0
156,119,168
345,88,109
414,84,110
643,74,117
109,102,85
563,94,71
539,72,103
610,86,108
201,35,142
63,73,107
725,64,102
100,102,89
423,84,106
359,84,109
723,103,152
126,91,91
314,103,128
13,65,107
649,80,115
288,107,83
707,82,123
648,84,124
593,101,79
380,89,129
275,90,120
606,26,59
176,57,106
621,89,134
715,54,93
496,40,129
361,103,92
699,78,124
492,99,157
226,83,102
365,93,110
530,85,115
217,40,180
591,52,149
774,76,144
95,70,111
539,74,107
724,87,102
232,93,131
152,107,88
682,82,126
0,0,0
250,110,85
281,46,132
34,88,109
347,99,158
94,107,129
45,43,31
637,85,118
729,80,110
722,98,76
469,61,64
521,94,159
153,100,51
432,95,142
226,71,105
492,87,146
467,86,101
754,69,112
90,109,88
428,100,143
410,102,165
41,59,126
641,69,114
280,26,88
319,72,112
259,93,135
664,79,120
514,78,119
214,23,70
355,95,103
758,72,80
622,40,50
392,106,46
750,104,143
680,74,112
662,85,125
785,84,102
738,95,163
776,97,90
689,75,106
559,92,100
367,69,113
0,104,71
609,76,124
665,91,123
786,93,131
258,61,111
411,91,116
557,74,107
493,23,141
283,105,76
584,102,69
348,91,107
42,50,136
661,109,31
459,90,137
109,88,119
156,110,87
666,96,98
451,88,126
211,113,72
305,104,82
153,76,128
270,95,97
250,122,63
713,93,58
700,78,113
599,81,117
76,77,112
294,98,122
0,0,0
506,45,137
4,25,70
178,96,134
640,91,121
316,79,116
321,20,152
560,39,44
231,107,130
115,88,102
189,101,94
415,91,93
204,105,144
280,97,102
47,107,138
158,105,94
493,90,113
0,0,0
591,81,106
597,102,58
456,108,77
346,107,85
125,82,110
302,88,111
732,99,87
0,0,0
247,95,123
472,86,109
758,79,113
142,81,125
105,84,106
552,104,35
257,116,75
358,96,102
10,35,47
470,70,115
435,31,65
172,75,114
626,72,117
747,90,164
782,82,100
24,114,60
639,89,99
148,56,116
440,101,147
65,100,143
51,117,157
74,97,122
656,81,113
607,95,62
304,90,112
622,82,120
713,82,123
736,79,107
520,76,111
480,70,108
131,106,169
171,97,87
226,101,129
241,76,111
664,66,109
173,84,120
326,103,135
607,83,121
243,111,145
3,122,138
105,99,100
751,84,109
788,100,93
580,93,153
416,100,67
193,87,116
509,91,117
368,94,139
326,28,156
33,109,84
749,102,86
756,73,117
326,100,98
286,84,184
326,37,41
0,0,0
635,80,115
116,37,154
400,90,108
757,97,81
49,58,87
317,85,39
70,34,182
552,90,117
0,0,0
100,21,82
23,112,150
269,73,120
635,83,106
689,71,108
132,97,89
772,82,108
639,83,110
450,107,161
294,81,107
87,91,101
168,99,90
587,95,90
661,90,90
157,52,52
0,0,0
448,72,107
678,89,86
698,70,114
639,86,108
723,86,125
515,78,117
184,95,101
112,24,178
330,83,119
171,86,116
662,75,115
340,96,176
0,0,0
56,86,95
424,71,113
380,86,112
250,102,142
776,75,114
160,89,119
265,25,146
761,31,51
283,99,85
124,71,112
278,99,98
46,51,199
100,78,109
647,73,112
450,91,119
0,0,0
321,25,171
478,69,114
743,85,115
92,109,133
235,111,77
521,79,111
518,85,109
581,85,118
0,0,0
776,79,109
698,54,154
420,98,157
585,94,70
785,76,111
759,92,126
635,88,106
151,58,145
335,90,144
491,94,99
324,83,111
258,95,89
396,84,111
454,111,147
503,74,105
242,94,116
566,85,105
309,100,81
615,84,112
520,78,118
183,18,140
621,92,179
697,49,71
317,88,139
142,107,134
103,24,169
762,89,70
297,89,145
0,0,0
318,26,83
546,88,114
756,34,173
264,70,102
591,83,126
205,95,102
563,89,98
175,93,105
564,125,176
58,33,59
287,63,108
556,50,60
278,96,105
366,85,107
389,102,81
682,92,143
55,107,78
304,101,124
132,91,126
503,98,141
222,125,77
406,91,113
0,0,0
607,81,121
476,91,126
291,102,128
63,86,113
442,63,119
595,95,85
369,99,121
228,93,142
307,107,78
254,98,92
187,114,66
616,85,109
677,83,86
739,62,107
489,26,142
604,45,150
653,97,147
336,91,104
610,86,115
585,85,117
556,82,112
602,77,113
751,97,83
130,89,117
224,40,63
160,91,76
265,69,112
647,80,109
557,88,114
236,45,68
177,28,137
266,105,139
100,83,110
429,115,147
544,81,105
525,95,141
0,0,0
632,87,99
319,93,101
734,79,115
7,37,53
156,93,119
665,93,67
13,36,48
561,84,111
256,96,108
748,83,110
226,38,76
30,93,122
427,92,121
209,13,143
326,84,112
466,93,171
789,83,123
0,0,0
40,39,194
342,113,84
419,102,73
0,0,0
243,102,90
705,84,111
664,117,197
785,34,74
659,85,109
0,0,0
230,25,145
595,94,135
662,99,67
745,88,102
508,90,108
755,86,105
0,109,95
187,84,178
142,29,54
431,93,104
80,101,136
301,103,93
475,74,113
427,94,98
373,88,103
614,92,144
450,78,102
244,105,127
181,108,90
672,64,112
683,101,153
0,0,0
551,87,120
145,41,163
150,29,44
506,88,128
0,0,0
178,45,185
603,54,149
478,105,157
0,0,0
575,92,75
500,87,156
622,82,107
588,95,154
95,89,112
642,80,120
546,106,63
426,35,136
284,100,93
603,83,111
69,97,105
700,81,97
419,93,76
505,72,116
58,89,135
475,93,92
282,93,103
0,0,0
645,76,113
50,107,137
781,82,122
786,64,111
147,61,143
593,82,118
116,91,95
622,71,108
721,80,106
635,80,119
303,38,65
119,99,99
754,68,79
68,43,57
451,119,173
34,62,114
60,110,85
114,105,141
756,85,115
480,87,119
190,40,189
71,93,108
449,65,97
550,93,103
88,37,166
141,115,138
252,74,119
167,44,39
402,77,115
609,85,132
371,103,65
428,90,90
429,93,144
556,104,32
789,74,114
468,87,100
380,92,116
74,111,146
218,93,116
149,123,79
0,0,0
49,103,143
385,95,127
709,75,109
217,91,135
241,89,119
0,0,0
752,110,82
681,106,75
220,110,62
257,84,114
465,76,109
312,94,86
649,81,125
145,37,47
129,89,102
120,49,180
412,93,124
29,43,48
534,31,165
297,102,142
453,88,91
686,91,100
643,121,39
414,99,152
697,85,104
0,0,0
691,79,68
372,39,92
526,84,113
100,99,93
502,75,108
507,96,94
179,43,140
225,102,141
363,85,118
54,51,23
631,88,89
91,116,87
726,81,119
273,67,109
324,87,113
71,109,83
734,92,95
256,86,124
692,80,114
97,77,104
424,104,163
63,103,91
8,98,135
143,98,87
401,91,145
363,92,71
632,92,71
228,27,59
33,60,46
171,102,88
426,94,163
505,89,102
746,80,108
735,104,85
42,98,55
497,83,103
699,81,101
784,93,70
203,44,181
71,87,113
444,91,77
699,94,145
77,108,147
66,116,88
633,71,118
397,46,155
232,110,64
487,87,149
65,85,115
0,0,0
423,70,115
687,66,112
650,90,148
316,100,125
689,71,108
594,85,114
568,76,113
35,40,61
127,86,105
15,30,146
194,89,119
178,103,126
318,116,81
27,66,119
768,110,64
667,96,181
789,32,73
206,35,60
0,0,0
394,65,111
461,90,109
208,64,119
276,86,110
0,0,0
527,84,118
686,82,114
656,82,95
315,97,93
570,90,163
760,98,152
727,81,112
335,102,144
605,99,74
126,111,142
658,75,107
536,89,109
176,49,148
70,96,46
763,76,112
298,87,103
32,58,165
788,97,91
573,81,110
248,93,111
0,0,0
197,110,91
166,32,52
129,48,29
728,75,105
231,109,86
99,90,119
290,114,148
322,104,125
0,0,0
36,81,114
389,97,150
318,81,117
629,26,54
213,35,41
140,93,106
570,94,141
705,75,112
733,73,109
178,109,140
554,81,104
740,98,133
183,90,103
678,91,134
63,101,91
177,100,91
0,0,0
494,89,112
156,83,113
203,91,113
628,80,108
737,99,143
238,110,139
382,103,149
75,88,118
517,81,113
739,80,120
453,97,103
81,97,88
619,75,110
98,118,145
450,93,97
155,55,108
276,97,104
697,78,123
115,84,87
3,86,118
585,85,117
53,95,80
54,59,179
293,98,84
264,103,136
569,121,44
70,98,126
58,37,69
19,109,91
400,72,108
63,60,113
339,70,46
69,69,114
236,96,101
468,107,159
95,113,140
648,85,136
419,91,103
143,97,91
184,83,116
59,59,118
76,88,174
24,112,140
179,101,138
730,82,115
506,92,98
446,102,159
248,107,78
448,79,120
719,79,112
439,93,125
39,94,81
2,107,93
304,84,111
275,101,128
335,83,108
56,101,49
464,95,128
62,88,110
373,43,81
57,93,72
543,99,147
292,91,121
213,115,85
696,82,117
574,91,74
298,97,119
713,69,113
197,97,154
108,109,172
296,101,145
93,105,78
482,23,143
439,88,128
633,84,117
437,66,95
345,92,118
709,89,100
329,83,107
708,93,81
0,0,0
389,68,109
642,87,117
687,117,195
589,64,152
620,95,125
744,39,66
577,93,123
606,72,119
216,102,138
238,100,101
600,89,71
465,92,133
548,80,121
248,36,53
337,68,118
525,71,110
431,94,141
149,106,90
249,89,110
637,84,140
71,15,165
84,114,130
696,64,111
189,85,120
405,101,49
194,99,97
343,107,63
329,92,81
0,0,0
153,45,48
0,0,0
589,93,70
109,91,131
201,99,144
751,79,118
82,85,116
237,21,81
93,63,116
82,115,89
100,73,94
745,33,79
348,90,147
211,100,59
515,96,124
79,95,130
607,82,107
64,90,118
778,96,138
378,90,147
38,79,111
697,95,76
270,91,113
474,69,109
652,85,105
636,88,91
255,88,108
697,74,118
372,27,58
196,57,85
491,86,103
287,79,120
387,96,85
294,92,109
327,99,102
751,30,65
664,36,60
664,70,117
59,54,106
215,106,94
666,85,89
89,112,81
663,92,56
149,93,112
328,33,56
620,79,118
459,66,106
18,106,141
95,91,103
152,105,134
198,40,39
117,94,126
337,74,106
460,87,133
120,94,151
197,108,130
18,103,149
380,84,119
585,79,118
165,83,92
94,106,135
59,76,118
780,94,134
716,60,94
701,92,101
241,88,107
16,86,114
107,86,110
508,85,117
618,73,110
239,100,135
367,82,101
372,89,126
202,124,80
374,98,94
372,91,92
602,95,99
694,85,118
757,74,112
