z,x,y
93,92,161
769,72,164
186,66,60
552,81,62
105,85,72
785,80,85
758,91,68
179,94,59
293,75,136
712,70,54
119,90,167
640,70,55
730,98,185
642,92,171
141,84,158
745,63,63
659,89,125
647,99,174
781,108,143
132,101,171
693,63,72
230,99,80
172,66,84
180,81,144
182,63,73
558,75,96
608,73,52
94,111,153
123,68,145
533,84,55
687,71,80
71,97,69
201,122,68
112,64,155
537,83,165
755,58,169
677,82,188
548,102,33
559,102,136
557,83,54
612,103,43
745,83,164
541,73,151
288,65,89
641,93,176
199,95,152
313,67,62
183,69,129
714,109,54
149,79,73
424,80,169
524,61,83
671,92,190
131,77,154
246,123,154
252,73,59
139,79,158
666,82,92
603,114,52
436,77,172
420,102,146
773,67,173
718,81,58
177,100,160
61,96,147
315,88,163
157,71,160
0,0,0
97,85,54
732,68,53
218,94,161
489,76,189
636,81,58
732,76,123
166,126,76
545,96,101
735,87,157
772,100,59
0,0,0
585,124,36
708,67,161
619,81,57
70,121,79
88,104,71
513,73,179
125,110,156
400,76,90
151,87,170
158,120,162
679,68,54
707,82,83
714,63,52
611,125,49
158,79,159
108,94,105
247,92,124
551,100,184
352,89,54
671,86,129
748,82,76
139,107,149
640,70,83
763,97,162
161,75,168
611,55,139
512,92,179
326,79,161
384,104,38
490,54,167
669,93,40
330,65,57
142,79,61
696,107,67
640,77,134
107,101,70
693,83,164
358,89,30
789,93,84
584,125,188
774,80,163
120,81,56
608,66,80
234,102,63
257,87,164
679,64,116
310,71,159
681,71,174
196,118,138
310,70,58
677,62,142
132,80,72
70,94,176
614,69,163
196,120,162
615,103,43
489,120,40
546,66,64
264,65,58
119,119,58
114,87,142
384,109,43
623,74,176
268,109,160
664,74,184
286,84,49
244,64,147
196,88,143
501,101,156
193,65,87
653,90,198
574,89,107
747,91,66
77,75,154
611,92,40
744,84,167
300,119,174
68,126,74
718,64,56
339,73,128
139,111,150
659,102,176
401,73,186
248,57,145
717,91,72
90,65,136
689,88,122
228,97,163
695,85,109
763,76,165
671,93,64
324,69,60
455,104,43
0,0,0
590,65,174
289,99,178
189,67,152
568,60,79
743,94,77
691,90,131
248,112,156
704,76,70
111,114,156
246,84,156
429,70,148
303,66,161
704,76,65
657,121,45
164,107,147
628,91,179
789,70,128
308,121,167
722,62,158
549,76,72
264,101,153
703,87,74
77,90,161
599,66,150
205,85,48
282,109,68
684,83,55
304,59,167
94,99,156
636,108,31
681,65,124
0,0,0
566,66,144
233,88,65
732,92,69
293,67,136
573,77,151
786,71,169
171,96,86
308,53,165
657,65,78
691,69,155
613,94,47
505,92,195
226,93,74
413,88,192
150,73,151
738,113,150
135,89,68
725,62,98
213,121,62
419,85,138
635,78,69
0,0,0
721,60,68
212,91,69
262,81,69
642,77,185
605,97,190
347,90,194
301,82,158
711,78,59
672,72,131
111,89,179
43,97,125
444,118,79
115,90,168
240,112,151
543,93,153
170,104,61
641,70,88
318,102,62
607,74,147
223,100,66
763,78,141
242,52,59
752,72,78
340,91,44
341,96,40
285,67,132
488,58,80
98,118,134
129,95,81
56,109,153
109,80,151
364,67,153
382,77,81
62,105,147
748,90,153
73,113,79
721,76,178
136,110,171
106,102,75
356,78,44
346,118,47
161,117,155
301,60,85
425,75,92
176,95,156
182,81,154
686,71,165
240,120,58
753,99,69
731,86,169
553,97,193
229,100,156
638,83,37
767,80,151
204,77,80
629,62,65
166,102,152
773,75,77
374,112,64
776,104,151
492,99,51
760,100,169
236,96,60
284,96,149
160,75,137
549,83,191
502,114,188
72,121,80
244,100,94
129,96,97
154,107,79
352,117,39
94,115,144
736,107,61
283,55,81
159,76,54
595,71,60
753,75,58
281,86,62
643,74,178
600,90,157
151,128,73
667,100,45
597,116,157
220,106,71
144,100,57
657,70,172
649,79,51
714,87,77
425,63,76
580,71,52
379,90,104
629,59,131
699,68,58
503,112,147
736,68,179
75,109,81
728,71,53
639,89,192
743,102,154
723,74,149
659,93,188
183,95,147
565,88,182
138,114,157
119,83,72
357,88,182
128,117,81
602,115,26
79,94,134
88,126,80
238,120,80
762,77,182
671,69,148
423,79,83
740,97,78
167,100,89
458,91,106
78,85,70
408,97,44
754,93,80
72,108,151
212,113,146
1,97,74
147,96,157
