z,x,y
101,119,85
766,72,133
637,46,88
752,56,149
756,100,75
2,70,144
584,86,102
456,108,52
739,87,78
89,64,80
77,97,82
460,85,49
78,77,93
177,97,153
187,118,135
631,77,112
701,91,81
770,82,158
474,116,166
746,77,119
399,90,85
753,78,80
644,75,140
176,96,77
266,72,145
297,80,93
469,103,36
179,44,153
763,60,96
523,96,79
250,112,85
462,73,92
374,93,99
733,87,81
132,89,124
321,69,145
411,83,108
348,85,112
494,86,124
128,90,83
214,84,65
634,74,49
325,70,88
172,69,74
711,93,90
336,99,133
169,77,144
563,108,45
306,84,131
169,51,154
296,55,149
606,90,149
537,106,152
460,115,162
596,82,137
498,102,151
105,72,136
789,63,143
684,70,87
93,77,139
372,89,136
557,83,108
502,101,44
534,88,100
677,72,80
666,93,65
196,96,152
137,89,95
251,117,141
628,96,160
148,74,155
336,78,141
558,91,169
558,44,136
37,88,63
703,68,152
29,54,67
571,103,38
98,73,144
180,82,126
515,90,116
466,75,92
273,74,143
399,101,39
674,93,86
62,93,118
425,107,52
526,101,55
569,90,89
208,80,98
496,87,96
230,63,149
282,85,131
607,84,125
679,78,137
76,79,92
163,107,136
684,75,85
569,87,160
744,65,129
399,91,88
758,55,87
146,48,164
647,91,71
703,77,130
201,83,146
233,81,66
696,81,144
462,93,70
90,91,80
556,83,151
195,89,117
526,85,139
452,92,145
583,119,181
189,103,179
335,63,158
253,112,149
250,93,120
558,88,90
504,88,55
73,97,76
762,72,72
681,87,163
512,107,60
517,80,112
509,92,167
789,62,132
706,82,117
572,104,170
618,88,74
299,64,64
702,24,56
713,84,81
679,89,83
426,50,53
584,58,89
171,77,71
462,109,52
745,101,87
424,113,46
299,88,81
172,71,102
120,78,138
528,86,123
332,70,143
762,60,86
451,91,188
577,85,93
773,78,90
240,98,97
437,98,75
334,86,108
464,96,164
552,121,48
184,57,71
520,109,179
316,73,137
164,74,147
161,112,150
294,88,92
365,109,64
744,72,115
752,85,147
458,58,156
151,81,71
537,94,64
743,69,90
704,75,146
117,86,83
271,50,154
108,64,135
325,83,100
312,90,77
604,94,168
410,102,192
760,73,126
691,76,91
694,83,135
94,85,98
334,87,93
62,32,50
359,53,58
472,57,84
547,94,86
683,75,141
295,33,48
291,85,151
761,61,103
481,107,84
652,67,90
234,42,151
494,85,69
677,65,115
702,68,105
87,65,80
490,86,192
449,116,59
544,80,144
503,89,184
581,73,91
456,78,72
344,58,154
747,80,81
548,74,91
641,66,144
403,114,71
24,98,76
324,70,86
151,97,148
171,85,97
663,103,55
434,90,60
622,95,75
248,38,163
626,91,93
589,82,163
85,75,129
108,73,143
274,65,75
90,54,160
230,88,65
505,76,135
726,68,65
85,41,188
453,103,77
515,44,126
172,74,130
115,63,130
201,70,81
502,83,158
105,61,81
226,84,100
169,107,85
741,82,130
86,102,88
72,101,130
490,109,59
64,76,76
692,90,93
271,105,139
334,81,88
652,60,159
431,119,44
622,101,167
500,74,96
786,70,111
162,73,139
654,87,90
656,70,86
443,102,70
714,93,143
445,116,55
446,81,100
475,85,144
384,97,48
778,59,167
720,89,96
347,103,45
134,97,91
252,74,86
75,98,83
607,105,70
423,88,82
302,38,63
285,76,84
638,79,123
781,78,93
143,47,160
251,84,144
653,84,149
436,75,51
756,66,116
499,87,84
366,81,60
761,83,100
763,82,84
315,84,121
675,95,144
722,80,87
40,64,89
48,42,74
616,107,34
117,62,148
176,84,144
408,93,38
675,91,96
413,98,183
726,88,70
770,64,99
447,60,148
661,80,157
378,75,77
76,98,126
379,92,187
760,86,91
749,64,129
606,114,60
545,94,133
462,103,58
591,80,145
109,48,72
284,96,140
132,78,135
318,61,65
82,44,75
458,98,124
303,77,73
711,68,76
755,95,132
570,100,154
444,97,82
619,80,133
479,105,42
111,89,104
465,91,173
516,76,81
358,95,167
688,67,115
722,81,106
628,89,139
189,121,137
136,71,75
175,82,84
766,88,156
532,78,92
223,104,83
409,96,154
560,94,171
235,100,53
505,90,95
166,76,153
91,81,75
486,103,157
557,100,162
453,101,44
326,94,79
186,76,146
461,98,150
120,54,149
296,95,74
7,97,80
693,79,122
230,72,69
404,78,133
752,73,79
246,107,74
467,56,137
284,89,78
294,62,76
479,122,166
619,81,81
260,74,77
445,97,82
294,66,86
712,82,124
