,z,x,y,population_key
0,430,116,42,V2a_Cord1
1,430,111,154,V2a_Cord1
2,430,101,81,V2a_Cord1
3,430,120,177,V2a_Cord1
4,430,117,172,V2a_Cord1
5,430,112,41,V2a_Cord1
6,430,111,45,V2a_Cord1
7,430,102,146,V2a_Cord1
8,430,110,40,V2a_Cord1
9,430,110,167,V2a_Cord1
10,430,104,156,V2a_Cord1
11,430,111,170,V2a_Cord1
12,430,107,50,V2a_Cord1
13,430,104,155,V2a_Cord1
14,430,103,154,V2a_Cord1
15,430,102,152,V2a_Cord1
16,430,108,38,V2a_Cord1
17,430,104,58,V2a_Cord1
18,430,98,127,V2a_Cord1
19,430,105,160,V2a_Cord1
20,430,105,54,V2a_Cord1
21,430,108,168,V2a_Cord1
22,430,102,59,V2a_Cord1
23,430,97,149,V2a_Cord1
24,430,100,154,V2a_Cord1
25,430,108,172,V2a_Cord1
26,430,102,59,V2a_Cord1
27,430,82,78,V2a_Cord1
28,430,83,93,V2a_Cord1
29,430,96,65,V2a_Cord1
30,430,98,157,V2a_Cord1
31,430,80,93,V2a_Cord1
32,430,82,76,V2a_Cord1
33,430,86,136,V2a_Cord1
34,430,93,53,V2a_Cord1
35,430,91,47,V2a_Cord1
36,430,81,145,V2a_Cord1
37,430,78,141,V2a_Cord1
38,430,95,161,V2a_Cord1
39,430,99,174,V2a_Cord1
40,430,85,41,V2a_Cord1
41,430,96,175,V2a_Cord1
42,430,50,86,V2a_Cord1
43,430,65,171,V2a_Cord1
44,434,120,40,V2a_Cord1
45,434,112,61,V2a_Cord1
46,434,121,180,V2a_Cord1
47,434,109,64,V2a_Cord1
48,434,113,179,V2a_Cord1
49,434,111,45,V2a_Cord1
50,434,111,171,V2a_Cord1
51,434,99,73,V2a_Cord1
52,434,105,163,V2a_Cord1
53,434,106,50,V2a_Cord1
54,434,108,175,V2a_Cord1
55,434,97,134,V2a_Cord1
56,434,96,130,V2a_Cord1
57,434,102,165,V2a_Cord1
58,434,100,58,V2a_Cord1
59,434,102,53,V2a_Cord1
60,434,79,81,V2a_Cord1
61,434,100,27,V2a_Cord1
62,434,101,32,V2a_Cord1
63,434,75,82,V2a_Cord1
64,434,86,71,V2a_Cord1
65,434,78,72,V2a_Cord1
66,434,84,124,V2a_Cord1
67,434,80,149,V2a_Cord1
68,434,71,75,V2a_Cord1
69,434,62,82,V2a_Cord1
70,434,80,127,V2a_Cord1
71,434,85,103,V2a_Cord1
72,434,83,102,V2a_Cord1
73,434,55,76,V2a_Cord1
74,434,70,152,V2a_Cord1
75,434,62,141,V2a_Cord1
76,434,66,90,V2a_Cord1
77,434,49,82,V2a_Cord1
78,434,58,104,V2a_Cord1
79,436,118,73,V2a_Cord1
80,436,117,51,V2a_Cord1
81,436,106,73,V2a_Cord1
82,436,115,52,V2a_Cord1
83,436,107,65,V2a_Cord1
84,436,112,42,V2a_Cord1
85,436,96,92,V2a_Cord1
86,436,94,74,V2a_Cord1
87,436,93,76,V2a_Cord1
88,436,115,169,V2a_Cord1
89,436,117,173,V2a_Cord1
90,436,91,81,V2a_Cord1
91,436,99,61,V2a_Cord1
92,436,87,82,V2a_Cord1
93,436,113,172,V2a_Cord1
94,436,92,61,V2a_Cord1
95,436,91,67,V2a_Cord1
96,436,104,158,V2a_Cord1
97,436,90,62,V2a_Cord1
98,436,83,82,V2a_Cord1
99,436,112,190,V2a_Cord1
100,436,96,141,V2a_Cord1
101,436,112,179,V2a_Cord1
102,436,95,139,V2a_Cord1
103,436,96,142,V2a_Cord1
104,436,81,81,V2a_Cord1
105,436,97,150,V2a_Cord1
106,436,81,83,V2a_Cord1
107,436,105,160,V2a_Cord1
108,436,104,160,V2a_Cord1
109,436,87,95,V2a_Cord1
110,436,96,151,V2a_Cord1
111,436,106,165,V2a_Cord1
112,436,109,178,V2a_Cord1
113,436,107,166,V2a_Cord1
114,436,88,97,V2a_Cord1
115,436,92,149,V2a_Cord1
116,436,68,81,V2a_Cord1
117,436,70,78,V2a_Cord1
118,436,102,160,V2a_Cord1
119,436,99,157,V2a_Cord1
120,436,67,80,V2a_Cord1
121,436,81,94,V2a_Cord1
122,436,87,101,V2a_Cord1
123,436,66,81,V2a_Cord1
124,436,99,158,V2a_Cord1
125,436,97,155,V2a_Cord1
126,436,100,158,V2a_Cord1
127,436,86,141,V2a_Cord1
128,436,85,133,V2a_Cord1
129,436,82,131,V2a_Cord1
130,436,93,153,V2a_Cord1
131,436,59,84,V2a_Cord1
132,436,76,142,V2a_Cord1
133,436,77,142,V2a_Cord1
134,436,79,126,V2a_Cord1
135,436,98,166,V2a_Cord1
136,436,68,91,V2a_Cord1
137,436,76,98,V2a_Cord1
138,436,73,136,V2a_Cord1
139,436,92,189,V2a_Cord1
140,438,115,184,V2a_Cord1
141,438,112,191,V2a_Cord1
142,438,105,136,V2a_Cord1
143,438,102,154,V2a_Cord1
144,438,106,165,V2a_Cord1
145,438,106,167,V2a_Cord1
146,438,101,158,V2a_Cord1
147,438,98,154,V2a_Cord1
148,438,95,152,V2a_Cord1
149,438,101,162,V2a_Cord1
150,438,94,153,V2a_Cord1
151,438,96,159,V2a_Cord1
152,438,93,191,V2a_Cord1
