,z,x,y,population_key
0,454,107,156,V2b_Cord1
1,454,109,161,V2b_Cord1
2,454,118,67,V2b_Cord1
3,454,101,154,V2b_Cord1
4,454,122,173,V2b_Cord1
5,454,103,158,V2b_Cord1
6,454,98,150,V2b_Cord1
7,454,111,166,V2b_Cord1
8,454,109,71,V2b_Cord1
9,454,119,172,V2b_Cord1
10,454,93,153,V2b_Cord1
11,454,94,155,V2b_Cord1
12,454,91,144,V2b_Cord1
13,454,113,60,V2b_Cord1
14,454,117,171,V2b_Cord1
15,454,95,161,V2b_Cord1
16,454,122,54,V2b_Cord1
17,454,117,56,V2b_Cord1
18,454,95,162,V2b_Cord1
19,454,98,68,V2b_Cord1
20,454,92,98,V2b_Cord1
21,454,102,165,V2b_Cord1
22,454,117,56,V2b_Cord1
23,454,114,170,V2b_Cord1
24,454,94,71,V2b_Cord1
25,454,119,54,V2b_Cord1
26,454,84,137,V2b_Cord1
27,454,105,59,V2b_Cord1
28,454,89,161,V2b_Cord1
29,454,101,162,V2b_Cord1
30,454,86,108,V2b_Cord1
31,454,85,116,V2b_Cord1
32,454,78,137,V2b_Cord1
33,454,80,102,V2b_Cord1
34,454,73,146,V2b_Cord1
35,454,75,135,V2b_Cord1
36,454,78,122,V2b_Cord1
37,454,76,127,V2b_Cord1
38,454,76,104,V2b_Cord1
39,454,75,126,V2b_Cord1
40,454,75,122,V2b_Cord1
41,454,62,108,V2b_Cord1
42,454,61,110,V2b_Cord1
43,460,122,51,V2b_Cord1
44,460,110,62,V2b_Cord1
45,460,96,146,V2b_Cord1
46,460,111,59,V2b_Cord1
47,460,106,64,V2b_Cord1
48,460,121,184,V2b_Cord1
49,460,96,155,V2b_Cord1
50,460,104,64,V2b_Cord1
51,460,120,184,V2b_Cord1
52,460,104,61,V2b_Cord1
53,460,118,183,V2b_Cord1
54,460,104,172,V2b_Cord1
55,460,92,73,V2b_Cord1
56,460,90,77,V2b_Cord1
57,460,91,72,V2b_Cord1
58,460,92,162,V2b_Cord1
59,460,84,144,V2b_Cord1
60,460,84,143,V2b_Cord1
61,460,118,182,V2b_Cord1
62,460,84,152,V2b_Cord1
63,460,83,143,V2b_Cord1
64,460,87,93,V2b_Cord1
65,460,90,65,V2b_Cord1
66,460,86,73,V2b_Cord1
67,460,81,153,V2b_Cord1
68,460,79,149,V2b_Cord1
