,z,x,y,population_key
0,430,116,150,V3_Cord1
1,430,108,157,V3_Cord1
2,430,107,155,V3_Cord1
3,430,106,157,V3_Cord1
4,430,96,145,V3_Cord1
5,430,104,65,V3_Cord1
6,430,91,121,V3_Cord1
7,430,111,30,V3_Cord1
8,430,86,79,V3_Cord1
9,430,85,120,V3_Cord1
10,430,83,128,V3_Cord1
11,430,83,117,V3_Cord1
12,430,82,118,V3_Cord1
13,430,77,102,V3_Cord1
14,430,78,122,V3_Cord1
15,430,71,100,V3_Cord1
16,430,66,50,V3_Cord1
17,430,61,60,V3_Cord1
18,430,36,58,V3_Cord1
19,430,27,56,V3_Cord1
20,430,28,72,V3_Cord1
21,432,111,133,V3_Cord1
22,432,113,157,V3_Cord1
23,432,95,85,V3_Cord1
24,432,87,133,V3_Cord1
25,432,86,90,V3_Cord1
26,432,89,115,V3_Cord1
27,432,83,136,V3_Cord1
28,432,85,92,V3_Cord1
29,432,86,95,V3_Cord1
30,432,85,92,V3_Cord1
31,432,85,114,V3_Cord1
32,432,81,119,V3_Cord1
33,432,76,112,V3_Cord1
34,432,72,119,V3_Cord1
35,432,68,112,V3_Cord1
36,432,73,58,V3_Cord1
37,432,22,143,V3_Cord1
38,434,113,64,V3_Cord1
39,434,92,80,V3_Cord1
40,434,86,90,V3_Cord1
41,434,85,134,V3_Cord1
42,434,85,90,V3_Cord1
43,434,84,93,V3_Cord1
44,434,83,79,V3_Cord1
45,434,85,116,V3_Cord1
46,434,86,111,V3_Cord1
47,434,84,114,V3_Cord1
48,434,75,108,V3_Cord1
49,434,73,113,V3_Cord1
50,434,63,96,V3_Cord1
51,434,48,59,V3_Cord1
52,434,34,63,V3_Cord1
53,434,33,63,V3_Cord1
54,435,111,87,V3_Cord1
55,435,99,148,V3_Cord1
56,435,101,196,V3_Cord1
57,435,93,138,V3_Cord1
58,435,99,103,V3_Cord1
59,435,91,133,V3_Cord1
60,435,88,124,V3_Cord1
61,435,76,114,V3_Cord1
62,435,50,68,V3_Cord1
