z,x,y
120,91,136
28,86,149
512,74,86
99,76,64
697,81,100
601,97,146
321,116,151
687,72,142
222,59,110
554,83,105
540,93,189
241,76,172
131,105,156
503,89,41
146,68,103
770,86,84
431,83,103
329,91,83
565,106,33
228,70,89
67,95,150
498,103,169
93,105,82
751,84,76
219,57,147
471,90,114
779,72,119
471,97,169
329,92,143
3,63,107
562,77,53
575,101,82
565,102,166
231,90,167
317,122,68
616,93,162
213,83,127
146,69,70
530,70,143
189,119,145
354,102,67
490,101,139
564,75,80
699,97,71
107,90,58
508,101,77
697,90,64
761,76,107
542,78,68
706,89,156
245,113,149
390,111,81
545,67,103
396,83,57
545,95,98
406,92,178
294,108,133
446,102,26
331,103,68
125,73,96
350,78,123
232,65,49
720,69,62
98,114,57
717,63,124
285,99,77
255,64,122
212,73,47
452,102,45
274,84,74
553,75,35
610,87,186
576,86,112
141,58,82
423,81,154
366,106,156
669,70,114
677,71,126
117,92,132
255,82,69
485,95,89
568,101,173
566,87,70
727,100,77
482,110,176
100,99,159
722,77,60
149,88,78
351,57,140
701,100,155
525,82,159
607,72,98
398,96,133
563,92,194
215,105,158
625,95,44
533,89,104
76,115,76
617,104,158
266,124,79
160,81,115
342,119,173
424,78,184
231,89,60
103,104,79
624,98,170
504,102,136
708,80,108
588,91,147
599,77,118
672,81,99
238,81,60
288,83,150
123,114,64
100,104,69
348,96,175
360,115,168
263,91,119
183,79,127
80,104,158
561,73,187
454,112,70
132,106,140
59,116,150
623,84,182
185,112,164
365,107,86
658,99,181
326,70,119
654,67,50
745,72,44
296,122,144
89,92,93
445,91,109
119,88,78
637,84,182
273,54,79
257,81,114
729,89,78
96,61,108
530,73,106
717,71,157
336,99,92
614,86,160
765,80,61
757,74,160
532,79,55
80,82,101
628,73,105
521,77,136
759,69,69
97,90,72
640,84,175
97,73,72
237,75,83
616,71,120
186,78,180
466,92,181
221,83,176
269,79,156
93,111,142
585,90,25
91,106,153
515,80,117
349,102,181
400,95,80
228,73,81
295,97,150
145,88,73
468,82,146
676,72,105
153,77,171
572,87,39
704,96,66
652,82,160
155,106,148
632,85,164
616,77,68
213,83,106
303,97,154
354,91,113
611,95,173
245,94,138
155,61,55
556,91,92
400,84,188
647,73,100
86,56,102
785,62,54
142,100,82
298,65,157
247,72,146
346,60,110
562,70,182
363,95,187
226,84,174
537,102,34
698,84,93
658,84,185
370,74,48
331,114,84
298,88,102
662,79,146
341,97,54
566,73,151
520,99,40
164,90,131
102,54,168
651,82,96
774,52,84
543,115,176
306,56,164
507,85,111
253,97,168
643,99,168
360,76,177
555,70,69
125,102,87
636,84,73
257,62,84
84,118,76
382,85,124
618,76,53
22,118,86
393,85,40
491,83,106
777,79,97
423,98,64
498,89,127
729,109,163
186,97,74
208,84,55
339,77,99
592,83,108
602,74,118
300,65,166
735,79,85
477,71,156
492,93,192
64,108,70
210,61,102
643,89,69
632,73,113
380,83,120
761,85,71
83,107,143
593,69,108
56,80,116
619,86,40
18,71,120
96,116,166
782,113,148
529,77,107
504,72,162
5,75,155
704,95,130
713,69,116
521,68,45
92,118,82
203,78,142
706,102,161
646,97,76
584,89,165
638,85,31
773,72,50
644,102,34
386,81,109
374,63,93
423,73,173
560,99,46
304,96,97
554,81,37
546,68,149
782,66,53
476,89,106
688,69,92
636,76,57
403,85,114
705,59,142
106,75,150
348,86,184
500,67,68
144,64,161
561,54,146
694,62,153
200,65,91
331,65,49
99,110,148
435,93,130
86,111,82
251,63,102
670,98,54
738,76,59
170,102,71
480,93,79
105,106,157
397,83,52
174,78,145
139,122,135
54,70,177
78,91,76
26,85,79
200,98,53
298,111,156
457,77,99
239,69,98
719,72,143
661,90,50
671,79,106
54,84,113
405,110,174
576,82,149
470,84,38
576,101,91
312,77,144
72,74,68
442,104,171
785,60,154
634,113,60
595,102,179
623,82,161
115,116,61
599,79,75
706,82,74
717,64,95
521,108,160
217,85,78
324,118,140
760,56,57
635,78,159
693,76,151
472,100,66
241,73,137
258,74,113
153,104,151
209,67,59
111,88,76
610,60,104
695,90,55
447,113,38
322,72,166
239,90,105
192,86,152
380,89,150
84,96,138
718,90,79
172,86,88
250,60,94
268,72,95
570,79,124
564,80,194
713,66,114
622,81,127
734,89,120
189,84,144
243,53,148
388,99,63
146,78,136
112,78,161
444,98,57
215,100,154
68,87,63
310,100,69
715,68,145
569,116,190
63,79,106
368,94,181
590,76,161
555,81,47
675,92,67
459,72,122
118,86,182
516,87,145
154,118,83
478,84,185
33,53,69
79,96,81
254,113,154
205,110,150
644,113,39
423,82,172
535,108,170
686,72,161
478,75,79
269,78,69
599,68,152
174,71,49
664,87,164
574,73,173
326,100,183
51,108,66
550,107,68
524,94,70
438,116,186
150,83,104
64,81,122
564,66,167
324,66,126
292,88,77
178,60,109
52,66,135
128,70,75
397,102,46
462,78,117
108,67,122
397,74,101
91,96,142
360,92,40
741,94,71
667,60,107
593,67,104
534,81,115
260,87,114
570,76,118
44,114,141
644,94,90
488,104,66
432,70,99
109,76,167
488,104,71
236,45,98
316,94,108
179,113,89
366,90,110
698,60,119
144,96,130
605,91,179
306,100,153
312,59,143
488,71,182
276,70,73
204,91,142
653,74,171
549,89,71
39,109,152
352,101,69
209,74,102
84,88,121
232,85,64
119,67,159
159,66,90
562,91,45
596,94,91
126,115,66
427,94,193
45,103,151
51,82,66
618,74,57
543,73,122
182,109,162
554,84,168
593,108,182
562,95,163
293,52,143
75,74,138
549,113,156
548,66,140
210,117,163
76,68,61
706,86,83
642,106,158
591,109,64
271,81,108
92,87,91
139,73,148
21,71,140
150,113,147
293,82,154
583,84,49
631,96,60
605,109,73
285,95,153
449,89,156
546,60,105
607,95,193
703,84,72
546,99,50
513,91,75
63,58,120
540,98,81
744,71,56
239,80,164
489,79,144
116,111,73
60,93,54
628,80,69
625,80,138
396,101,96
768,79,103
213,60,70
525,110,31
761,64,85
542,121,170
211,82,68
535,103,177
303,93,101
702,68,117
463,116,59
688,83,171
416,106,59
178,87,121
789,89,88
479,101,124
201,63,66
135,58,98
615,115,28
744,79,72
91,64,119
694,100,81
530,64,156
758,83,52
231,66,79
608,91,60
444,96,171
383,91,176
608,68,136
513,86,41
339,97,80
549,81,192
719,63,175
234,94,143
89,93,138
742,111,145
639,100,51
737,64,70
622,86,163
279,88,124
422,101,59
326,83,141
436,76,190
462,96,181
396,117,145
404,87,116
356,91,61
206,80,162
498,75,115
604,73,110
701,59,106
541,83,180
24,87,142
593,94,177
757,79,160
626,68,181
289,74,99
504,90,149
629,72,99
369,107,188
772,80,101
529,79,62
78,70,68
546,78,71
308,71,154
700,104,150
278,79,150
11,90,155
396,120,71
524,83,36
767,73,69
664,76,148
521,115,47
647,92,54
298,109,76
753,72,121
768,66,65
44,94,75
559,73,169
612,66,147
613,60,144
597,83,114
447,107,160
726,76,116
696,58,135
446,102,185
644,71,104
446,117,51
524,102,49
93,74,178
725,81,58
537,104,169
597,67,105
123,72,145
67,83,138
444,79,105
467,87,127
773,63,153
675,85,149
298,54,82
57,118,141
290,75,63
241,64,134
388,64,105
550,86,113
751,71,102
636,70,123
670,95,152
394,84,73
547,97,127
128,121,147
675,87,161
92,118,147
545,88,30
303,92,72
250,82,69
789,85,83
186,117,140
707,82,65
595,79,149
157,61,115
688,86,127
289,97,147
684,89,176
371,77,147
559,80,112
293,113,76
153,55,92
531,101,171
1,100,171
5,59,127
377,84,113
454,82,151
419,105,66
633,81,158
780,80,133
679,72,82
529,73,126
600,73,119
162,91,147
380,104,188
102,72,127
776,76,78
252,79,134
99,72,70
618,79,80
789,78,68
145,97,141
260,72,91
154,74,71
455,103,93
87,122,146
156,103,146
471,99,61
490,82,99
243,113,146
58,76,171
335,120,78
473,83,99
374,72,118
555,98,165
299,88,82
192,77,108
171,80,62
306,69,117
418,88,47
515,80,100
523,98,65
209,46,130
674,84,181
569,86,120
601,85,42
63,76,174
681,93,64
331,54,78
482,110,56
340,114,180
86,73,110
44,97,165
698,79,128
504,72,152
297,105,71
514,115,189
211,94,144
203,83,89
472,111,167
374,73,120
304,78,88
299,66,154
675,70,102
372,69,115
602,83,66
309,92,182
460,90,193
397,77,106
714,69,75
469,105,163
160,43,150
511,79,131
95,88,156
222,93,54
151,85,84
497,77,69
90,64,163
181,69,142
610,68,119
704,96,82
357,110,178
130,68,88
732,78,48
776,65,87
789,69,133
625,88,184
592,86,170
788,108,80
484,74,130
143,68,165
52,82,177
246,54,144
447,83,151
616,65,130
75,81,159
478,87,142
413,88,178
741,88,130
463,55,89
571,74,106
26,80,155
545,77,102
19,78,50
15,59,126
239,74,166
348,83,47
626,63,48
145,79,52
358,111,76
473,90,91
571,76,100
644,82,190
468,63,125
405,80,185
117,121,153
190,74,72
627,72,41
667,68,74
389,95,192
617,88,50
605,108,49
149,78,151
405,73,130
688,82,63
716,70,86
66,70,166
431,93,98
602,108,155
369,79,121
504,90,97
587,83,122
458,77,31
692,102,58
412,111,187
341,66,181
585,105,59
740,61,126
640,63,116
476,84,94
668,78,107
163,118,82
281,79,154
307,99,69
268,106,144
309,120,141
305,63,163
351,73,111
466,102,32
372,94,166
343,78,60
564,108,136
240,72,168
721,75,158
69,78,160
695,78,118
365,98,35
245,79,163
592,76,189
583,85,51
146,83,137
386,102,72
589,97,91
769,63,60
358,82,151
487,80,107
706,65,141
647,106,140
580,97,31
590,88,75
131,103,82
379,79,110
495,70,139
261,80,155
109,75,72
180,84,141
335,107,183
346,76,49
121,78,104
756,79,94
273,106,145
469,75,121
97,76,131
529,89,142
64,107,158
575,82,138
229,102,154
651,87,134
185,81,173
618,84,125
282,47,73
485,83,162
134,73,150
490,73,180
269,56,72
88,123,142
481,71,154
487,87,84
216,81,135
551,96,53
572,105,179
640,90,49
317,73,113
650,59,62
662,78,118
253,84,74
338,78,103
636,67,149
614,107,174
228,95,158
591,81,39
180,78,137
240,57,111
192,56,135
668,81,110
614,70,51
60,75,109
137,96,72
145,100,53
566,94,53
666,75,50
358,67,103
756,82,148
44,69,98
232,75,73
490,89,84
394,100,47
64,107,148
560,76,164
236,76,100
270,91,80
270,86,75
209,62,71
251,75,144
739,71,70
743,73,92
602,107,43
199,75,148
464,70,102
159,50,88
700,96,73
364,67,94
87,105,146
650,72,103
316,85,88
646,80,120
530,83,127
670,85,41
386,94,46
161,76,122
442,80,154
682,104,75
564,97,47
235,66,111
634,71,145
85,82,118
477,101,195
112,71,111
635,76,132
520,79,71
766,71,68
542,94,104
698,73,104
780,95,139
363,73,120
258,101,65
570,92,138
578,87,182
544,81,98
730,51,150
281,98,106
785,76,108
145,65,120
625,73,109
56,113,136
537,88,163
776,76,119
342,79,185
136,83,125
239,68,69
270,82,62
139,91,100
171,70,179
174,79,150
267,70,48
198,52,118
329,82,52
424,83,104
47,90,129
70,71,48
583,89,122
494,99,167
661,81,176
217,70,166
284,67,143
335,87,191
645,72,131
694,73,133
574,63,175
147,69,64
483,73,178
382,112,40
315,53,158
95,111,92
572,93,102
646,77,64
265,82,116
351,107,69
579,99,26
566,71,56
296,99,156
45,108,71
191,103,64
280,85,73
536,81,166
633,84,48
616,75,183
195,86,62
595,80,193
585,101,149
58,73,105
539,101,173
488,110,62
586,83,86
354,62,123
391,76,108
108,105,75
528,99,92
464,74,139
449,98,135
121,54,108
375,83,158
402,67,92
617,78,87
258,88,103
597,71,118
568,79,64
608,72,101
543,79,177
200,50,135
129,82,122
691,95,162
98,84,74
443,95,149
72,71,121
450,53,77
140,80,137
360,100,172
568,86,167
511,80,152
69,110,70
49,112,136
160,93,90
555,87,45
729,71,102
628,103,185
575,87,61
28,79,111
385,74,115
442,68,106
533,77,75
505,98,74
231,112,149
727,66,52
605,102,64
390,68,120
755,65,153
167,76,171
474,96,75
167,77,117
680,63,52
22,82,157
75,100,67
235,118,142
580,89,188
607,75,121
374,101,172
707,96,173
717,99,62
307,90,164
495,63,166
298,84,151
576,80,99
342,70,120
494,118,41
783,86,135
164,94,176
328,68,60
129,70,134
682,67,49
37,65,108
30,74,99
498,78,133
555,81,181
167,113,133
167,80,177
2,74,85
152,74,178
287,69,174
93,111,142
253,75,160
531,77,107
632,78,99
144,72,71
77,54,98
0,76,75
559,77,180
700,84,154
511,89,67
52,72,102
309,110,155
326,108,139
145,69,75
124,98,161
237,69,105
60,107,137
653,103,78
240,61,153
493,111,51
557,65,115
660,80,152
561,92,57
171,113,86
706,89,156
255,89,158
582,108,150
758,83,157
430,89,30
98,80,75
779,99,158
430,108,69
300,105,66
702,79,163
441,115,138
710,67,122
529,90,108
280,78,165
746,70,58
330,63,53
528,81,124
516,100,169
638,89,73
658,72,122
472,109,68
584,75,88
267,89,156
351,81,173
427,84,114
53,118,139
332,69,104
245,69,161
435,100,193
674,71,107
340,91,116
59,88,174
668,72,130
697,68,116
309,91,148
273,87,80
255,79,76
499,93,165
771,46,77
3,58,109
637,91,178
189,59,128
226,116,73
363,86,163
490,103,40
728,75,96
417,91,60
532,107,182
203,96,159
700,70,123
138,71,149
382,90,29
568,80,77
233,78,151
341,82,135
664,67,149
726,70,40
563,60,52
104,72,98
505,80,29
453,96,77
713,65,131
662,92,58
267,114,166
317,112,76
8,109,93
178,70,179
541,82,137
634,85,182
770,61,96
547,86,167
334,87,120
687,80,68
352,74,79
671,82,187
429,80,32
393,71,111
234,61,102
301,85,80
99,75,142
652,108,167
631,105,187
94,94,158
513,73,113
467,79,114
466,68,93
394,85,154
522,71,88
273,93,100
622,74,101
665,75,48
430,82,66
450,89,147
593,73,111
463,79,195
189,70,128
570,94,39
1,56,106
322,117,152
568,107,162
81,106,146
308,123,140
742,66,109
495,78,115
240,92,124
442,94,158
703,95,84
729,95,75
252,103,145
603,71,103
75,69,160
208,90,109
292,83,141
486,100,198
260,67,80
616,113,68
635,75,125
24,80,52
417,92,84
475,93,178
704,92,88
662,69,107
292,105,73
244,83,146
257,104,140
668,71,161
228,65,72
282,102,152
758,79,121
451,105,168
392,116,79
97,94,82
515,92,179
621,120,194
753,104,146
82,79,55
619,75,124
202,91,69
357,53,95
110,105,73
550,104,134
266,80,120
302,77,122
456,57,105
362,49,124
120,80,140
93,84,178
275,104,92
725,58,167
610,59,135
122,122,150
596,94,184
377,107,73
498,89,131
121,82,98
341,67,98
636,71,126
0,73,84
296,117,150
214,70,110
300,70,84
788,62,168
335,76,64
424,102,49
214,85,68
564,84,93
134,77,143
720,62,152
231,62,101
415,84,163
729,107,153
180,80,97
432,99,153
625,65,127
143,42,77
689,76,154
692,95,131
299,115,151
465,75,121
69,107,84
75,94,149
772,57,60
174,72,108
193,94,166
701,73,173
538,93,66
180,63,137
614,104,81
184,89,162
602,92,196
452,67,141
566,68,119
605,98,201
103,72,84
399,96,104
304,90,87
107,67,71
271,96,152
65,49,99
572,86,124
609,100,152
139,114,151
601,78,115
634,105,175
702,70,68
139,77,116
185,83,79
675,79,61
719,83,56
230,74,80
117,111,170
72,77,99
360,84,159
244,66,54
601,87,167
664,78,123
527,82,55
548,102,189
360,99,165
426,88,35
643,79,65
264,77,150
61,99,75
346,78,43
380,64,143
620,82,87
216,116,158
564,82,122
470,85,192
784,77,86
157,81,102
319,78,144
604,76,99
360,70,149
591,81,104
611,101,63
707,68,99
787,61,120
533,82,153
742,54,97
280,71,174
409,100,95
331,100,156
422,87,190
598,96,189
89,112,167
113,91,167
547,90,174
354,81,121
601,75,144
605,77,86
466,101,178
316,50,91
41,69,161
79,124,70
50,80,138
698,119,49
740,78,163
472,96,142
766,73,172
694,87,145
276,106,97
27,89,134
162,69,75
69,100,144
285,66,50
122,105,155
113,72,90
576,65,151
345,107,58
474,110,168
715,64,71
484,101,52
182,76,155
497,74,125
549,99,81
477,86,115
563,94,164
282,101,164
665,84,45
689,81,136
