z,x,y
24,90,138
466,71,106
209,103,59
733,102,79
546,84,116
573,77,125
330,101,133
539,78,114
4,69,108
640,88,101
218,20,89
497,95,172
424,94,117
245,110,78
712,73,104
94,65,108
176,96,88
498,85,130
625,76,120
497,87,72
512,79,109
112,23,59
114,117,72
385,98,152
250,89,118
314,112,74
354,26,171
664,72,107
341,75,108
543,90,118
44,87,132
500,69,120
510,93,101
115,105,157
783,84,108
81,86,117
512,99,126
660,82,105
117,47,182
407,82,111
270,81,125
149,90,63
777,101,90
149,64,175
716,90,100
24,57,118
175,104,98
329,72,146
171,106,96
100,95,82
423,61,123
761,65,116
184,104,133
53,89,105
440,84,98
525,91,96
784,35,50
173,103,126
607,29,79
315,94,105
550,83,107
121,93,105
552,93,133
170,84,115
605,86,117
687,72,106
136,41,162
767,75,128
516,79,114
452,85,104
721,101,147
368,103,84
283,116,136
608,95,156
402,87,130
674,89,120
456,30,59
58,70,106
636,83,113
66,107,90
374,72,144
569,93,148
241,94,54
533,87,122
169,23,62
489,99,153
709,73,115
483,40,61
774,94,97
532,74,112
271,92,109
522,74,125
114,75,111
55,90,104
715,94,85
565,96,56
641,94,80
470,80,105
184,73,97
35,118,144
105,79,107
317,95,116
1,92,86
789,85,45
235,87,110
449,62,119
80,85,100
253,108,71
731,108,169
473,82,112
532,81,105
281,43,164
285,92,79
349,99,73
483,75,109
74,106,87
385,97,127
751,27,166
460,67,111
400,101,149
735,74,121
148,95,154
183,105,69
78,83,127
115,50,170
662,93,83
409,88,116
748,66,104
769,74,145
622,92,77
323,80,114
657,88,134
583,90,123
120,105,81
62,106,132
446,81,73
180,74,106
317,103,91
460,95,140
170,106,170
51,50,202
117,91,105
766,84,108
686,91,126
429,72,116
386,95,121
173,26,65
772,78,103
522,95,84
668,76,121
392,70,105
59,88,112
34,101,125
286,31,140
732,83,107
70,61,105
114,63,113
668,65,114
160,91,99
460,73,112
765,98,129
313,100,137
709,38,159
316,108,91
442,108,55
247,102,122
538,71,113
591,86,144
367,94,62
229,93,127
377,101,153
32,121,85
294,90,142
30,123,151
424,100,131
555,97,141
233,84,139
3,36,52
405,91,116
530,97,97
446,79,133
696,95,147
236,116,144
241,108,73
635,77,102
688,83,102
448,92,123
389,61,111
498,87,114
265,76,99
724,105,186
194,39,46
187,120,66
276,107,150
786,90,135
110,79,122
303,101,81
702,69,116
178,46,158
107,88,115
737,87,119
787,73,108
59,114,56
648,40,52
567,93,145
321,97,145
102,91,95
716,33,171
262,98,130
644,80,123
149,116,72
243,79,107
709,82,103
122,78,102
711,28,166
94,91,156
507,26,132
685,87,92
220,34,49
766,64,110
747,99,92
107,77,114
479,76,108
341,75,105
600,95,66
64,36,153
746,86,105
40,97,54
303,104,144
376,81,119
207,116,137
270,98,97
658,83,85
463,101,125
762,84,148
621,88,104
647,93,75
486,83,102
376,87,117
726,58,70
481,91,109
320,99,91
556,89,142
598,84,105
777,63,145
635,91,124
599,83,96
329,89,94
212,95,133
236,62,110
114,75,115
710,70,112
772,86,36
73,109,136
169,90,104
386,95,116
222,103,141
704,78,107
682,69,113
94,119,80
488,99,72
53,88,106
356,107,168
238,109,135
62,119,88
607,67,105
39,102,135
164,85,115
433,91,173
511,90,114
384,67,112
220,67,86
257,107,142
222,106,66
315,98,89
468,90,110
631,90,163
701,81,116
367,102,99
494,97,98
162,114,86
180,127,76
731,94,98
